date,title,amount
2026-01-02,Uber Uber *Trip Help.U,15.96
2026-01-02,Uber Uber *Trip Help.U,16.92
2026-01-01,Uber Uber *Trip Help.U,11.96
2026-01-01,Uber Uber *Trip Help.U,11.95
2026-01-01,Uber Uber *Trip Help.U,10.94
2025-12-31,Uber Uber *Trip Help.U,7.96
2025-12-31,Uber Uber *Trip Help.U,7.94
2025-12-31,Uber Uber *Trip Help.U,7.95
2025-12-29,Uber Uber *Trip Help.U,7.95
2025-12-29,Uber Uber *Trip Help.U,10.54
2025-12-27,Uber Uber *Trip Help.U,10.94
2025-12-27,Uber Uber *Trip Help.U,15.94
2025-12-27,Uber Uber *Trip Help.U,7.94
2025-12-27,Uber Uber *Trip Help.U,8.73
2025-12-26,Google Youtube,16.90
2025-12-26,Uber Uber *Trip Help.U,23.93
2025-12-26,Ifd*Ifood Club,7.95
2025-12-25,Uber Uber *Trip Help.U,9.97
2025-12-25,Uber Uber *Trip Help.U,44.44
2025-12-25,Uber Uber *Trip Help.U,23.92
2025-12-24,Uber Uber *Trip Help.U,7.12
2025-12-24,Uber Uber *Trip Help.U,8.94
2025-12-24,Dl*99 Ride,5.55
2025-12-24,Uber Uber *Trip Help.U,17.95
2025-12-24,Uber Uber *Trip Help.U,17.02
2025-12-24,Uber Uber *Trip Help.U,11.93
2025-12-24,Uber Uber *Trip Help.U,18.91
2025-12-23,Supermercado Lider Can,37.30
2025-12-23,Uber Uber *Trip Help.U,10.95
2025-12-23,Uber Uber *Trip Help.U,9.93
2025-12-22,Cappta *O Mundo da Uti,69.90
2025-12-21,Uber Uber *Trip Help.U,20.96
2025-12-21,Uber Uber *Trip Help.U,11.94
2025-12-21,Uber Uber *Trip Help.U,11.94
2025-12-21,Uber Uber *Trip Help.U,16.93
2025-12-21,Uber Uber *Trip Help.U,43.54
2025-12-21,Uber Uber *Trip Help.U,33.17
2025-12-20,Dl*99 Ride,24.10
2025-12-20,Dl*99 Ride,19.70
2025-12-20,Uber Uber *Trip Help.U,7.91
2025-12-20,Uber Uber *Trip Help.U,19.95
2025-12-19,Uber Uber *Trip Help.U,10.93
2025-12-19,Uber Uber *Trip Help.U,7.96
2025-12-18,Uber Uber *Trip Help.U,5.91
2025-12-18,"IOF de ""Openai *Chatgpt Subscr""",1.46
2025-12-18,Dl*Google Youtub,6.99
2025-12-18,Openai *Chatgpt Subscr,41.77
2025-12-18,Uber Uber *Trip Help.U,10.95
2025-12-18,Uber Uber *Trip Help.U,15.90
2025-12-18,Uber Uber *Trip Help.U,5.91
2025-12-17,Uber Uber *Trip Help.U,36.90
2025-12-17,Uber Uber *Trip Help.U,7.96
2025-12-17,Uber Uber *Trip Help.U,7.94
2025-12-17,Dl*99 Ride,5.20
2025-12-16,Uber Uber *Trip Help.U,4.90
2025-12-16,Dl*99 Ride,5.00
2025-12-15,Uber Uber *Trip Help.U,4.76
2025-12-15,Uber Uber *Trip Help.U,4.83
2025-12-15,Supermercado Lider Can,139.90
2025-12-14,Linkedin,69.99
2025-12-14,Uber Uber *Trip Help.U,14.97
2025-12-14,Uber Uber *Trip Help.U,7.90
2025-12-14,Ec *Melimais,19.90
2025-12-13,"IOF de ""Www_contabo_com""",1.31
2025-12-13,Uber Uber *Trip Help.U,17.91
2025-12-13,Www_contabo_com,37.46
2025-12-13,Uber Uber *Trip Help.U,20.91
2025-12-13,Uber Uber *Trip Help.U,6.91
2025-12-11,Uber Uber *Trip Help.U,10.90
2025-12-11,Amazonprimebr,166.80
2025-12-11,Uber Uber *Trip Help.U,18.92
2025-12-10,Uber Uber *Trip Help.U,5.92
2025-12-10,Dl*Google Youtub,6.99
2025-12-10,Uber Uber *Trip Help.U,20.91
2025-12-10,Uber Uber *Trip Help.U,5.00
2025-12-09,Uber Uber *Trip Help.U,32.93
2025-12-09,Uber Uber *Trip Help.U,7.13
2025-12-09,Uber Uber *Trip Help.U,19.90
2025-12-08,Uber* Trip,9.91
2025-12-08,Uber Uber *Trip Help.U,8.14
2025-12-07,Amazonmktplc*Lucasdear,37.80
2025-12-07,Amazon,55.00
2025-12-07,Uber Uber *Trip Help.U,3.94
2025-12-07,Uber Uber *Trip Help.U,5.64
2025-12-06,Uber Uber *Trip Help.U,5.93
2025-12-06,Uber Uber *Trip Help.U,5.94
2025-12-06,Uber* Trip,6.33
2025-12-06,"IOF de ""Claude.Ai Subscription""",3.98
2025-12-06,Claude.Ai Subscription,113.92
2025-12-06,Uber* Trip,12.95
2025-12-06,Uber Uber *Trip Help.U,10.32
2025-12-06,Uber Uber *Trip Help.U,5.54
2025-12-05,Uber Uber *Trip Help.U,8.92
2025-12-05,Selfitsobrs,139.90
2025-12-05,Dl*99 Ride,9.10
2025-12-05,Uber Uber *Trip Help.U,7.93
2025-12-04,Dm*Helphbomaxcom,44.90
2025-12-04,Dl*99 Ride,5.40
2025-12-04,Uber Uber *Trip Help.U,13.92
2025-12-04,Dl*99 Ride,7.00
2025-12-03,Uber Uber *Trip Help.U,9.94
2025-12-03,Uber Uber *Trip Help.U,5.91
2025-12-03,Uber Uber *Trip Help.U,13.91
2025-12-03,Uber* Trip,6.95
2025-12-03,Pg *99 Ride,5.86
2025-12-03,Uber Uber *Trip Help.U,3.93
2025-12-03,Uber Uber *Trip Help.U,11.90
